row,quality_of_class,difficulty_of_class,thumbs_up,thumbs_down,comment
19,4.5,2.0,0,0,"He's passionate and lecture isn't bad, but he goes off on tangents sometimes. Slides are poor and bare minimum.  Midterm and final were cake, but the quizzes are a bit difficult and worth 100 points!  A paper of five pages is only worth 10 points, though....?"
20,2.0,4.0,0,0,"Hard class (especially for an intro, 200-level class), I don't recommend it unless you're looking for a challenge. Prof is very smart but dry, and digresses a lot. Text readings are long and became unnecessary. 3 pop quizzes, a 5 page paper, midterm (mostly essay), & final (mostly essay). Honestly I'm just reallllly happy that this class is over."
1,5.0,3.0,0,0,The most interesting class I've taken here at OSU. Dr. Krajbich consistently makes the content interesting and engaging. The course is stimulating and made me want to pursue this field in the future. Couldn't recommend this class more.
2,5.0,2.0,0,0,Great professor. Class was straight forward and homework graded based on effort. Exam short answers are based on homework problems. 
3,5.0,3.0,0,0,Great class. Great prof
4,5.0,2.0,0,0,There is a midterm and final exam each worth about 30-35% of your grade and then there are optional pop quizzes that you can opt-out of at the beginning of the semester (about 5%). the last 30% is based on problem sets that are based solely on completion. All in all the content in this class is very straightforward and this is a pretty easy A.
5,5.0,2.0,2,0,"Really interesting lectures, in a really interesting subject area. This class was mainly an overview of current research in the field. Dr. Krajbich does a great job of creating excitement for his subject within others, and he is sometimes pretty funny."
1,4.0,4.0,0,0,"I did not think I would like her or the class but I was wrong! Great class if you're interested in law or CJS. Straight forward lectures; clean, to the point slides and class almost always ends 15 min early. It takes work to get an A but its nothing unmanagable. Study guides cover everything on the exams! Exams: MC + ID terms and short answers."
2,2.0,4.0,2,1,"Course seemed basic enough at first, but I quickly realized how dry Prof. McGraw's was. The subject matter is fairly interesting, but lectures are stuffed and very boring. Exams are ridiculous, mostly multiple choice but they test the most insignificant details. And if you mess up, they're worth 35%, so good luck. First W, I say avoid at all costs."
3,4.0,3.0,0,0,"Midterm (35%), final (35%) (noncumulative) and paper (30%). Gives out very detailed study guides for the exams which have around 40 MC questions and 10-15 short answer. Paper is over a famous court trial in the 20th century. Material covered in class is very interesting. Focused on the criminal justice system. Put in the time in and get the grade. "
4,1.0,5.0,3,3,"I usually do not post any type of review or rating for professors. I, however, believed this to be an instance where such was imperative. In my correspondence with Prof. McGraw, she was rude, condescending, and unnecessarily degrading. He behavior was inexcusable and completely unprofessional, and therefore I do not recommend any of her courses."
5,4.0,3.0,1,0,Professor McGraw is a great lecturer. Her notes a clear and she tells you exactly what she is looking for. Plus class was usually only an hour long! She provides an overly detailed study guide.
6,4.5,4.0,0,1,"I really can't say enough about this professor. I found her to be very intelligent and engaging, and I found the course material to be relevant and applicable as a great intro to law. The reading is the lecture, and the lecture is very well structured. Attend the class. If you do the work in this class, you get the grade."
7,3.5,4.0,0,0,"Prof is very liberal and not afraid to tell you that. However she is a pretty good instructor, but her exams are kinda tough. She provides a study guide, but it is in about size 8 font, with 2 columns on each side of the page and packed full of EVERYTHING that was covered the whole time, so it really doesn't help you focus your studying much."
8,5.0,3.0,0,0,great professor got promoted to chair so wont be teaching for a while
9,5.0,2.0,0,0,I find it hard to believe that she didn't learn students names in the aformentioned class...because in my class of 60+ she knows a good deal of names (maybe you just have to participate.) Great prof...515 is a very interesting class.
10,5.0,3.0,0,0,"Assigns a lot of work, but exams and grading are very reasonable.  If you get to know her, you'll think she's fabulous."
11,2.0,1.0,0,0,"She makes no attempt to learn students' names or get to know them.  Her tests are extremely easy, but there's a long paper at the end (but she grades that easily, too.) She seemed to not enjoy teaching."
12,2.5,4.0,2,0,not very nice at all (i'm not bitter -- got a good grade but still).
13,5.0,3.0,0,1,Wonderful prof. One of the best at Ohio State!
1,5.0,1.0,0,0,"TAKE THIS CLASS as a freshman. It's an easy and interesting class with no tests, only short weekly writing assignments, and a group project. You get to learn from a really caring and intelligent professor who makes the class fun. He is very helpful and understanding with deadlines or missing class. He's the best professor I've had so far."
2,5.0,1.0,0,0,"If you are a freshman, TAKE THIS CLASS. It is not overwhelming at all. No final exam or final paper, so you have more time to study for finals for other classes. You have very short (around 200 words) writing assignments each week, and one presentation you do in a group in class. It was so easy, and let me get close to a great professor."
3,5.0,3.0,0,0,TAKE THIS CLASS: super interesting and great lectures. Some topics were more interesting than others but Abramowitz always made them enjoyable. He is a really cool guy and great teacher. The grade is based on 3 exams and 2 papers. The exams are fair if you take good notes. You can't miss any class though because he doesn't post the full slideshows.
4,5.0,1.0,0,0,Abramowitz is the best! So knowledgable about psychopathology. Lecture heavy but there's interesting videos and he's a great lecturer. Tests are 75% of your grade but all multiple choice and very straight forward. Easy A and great prof!
5,5.0,1.0,0,0,"If you need an easy A and don't mind attending lecture every class, TAKE ABNORMAL WITH ABRAMOWITZ. Seriously. Just do it."
6,4.0,1.0,2,0,"The best prof I've had so far. His class is 75% exams and 25% final essay, I was hesitant about that but the tests are extremely easy if you go to class and listen. He doesn't post full lectures so attendance is a must. Super nice guy and I really enjoyed his class even though I hate psych."
7,5.0,3.0,1,0,"Super chill professor. Nice, friendly, easily accessible. Willing to give feedback. Good lectures. Expects participation (part of your grade). Interesting lectures. Would definitely take this professor again."
8,5.0,1.0,0,0,"Dr. Abramowitz is awesome!! He is so passionate about psychology and really wants everyone to do well. As long as you go to class and take notes, you will do fine on the exams. There are just 3 non-cumulative exams and a paper on a movie about a psychological disorder. He is a great lecturer and very kind!!"
9,5.0,3.0,0,0,Very engaging and clearly cares about the success of his students! As long as you come to class and take good lecture notes you will be fine. Each test is 25% and 10 page final paper is also 25%
10,5.0,2.0,0,0,"Professor Abramowitz is a super fun and interesting lecturer. I love that he helps illustrate concepts using stories from his own experience as a clinical psychologist. The class is very easy - the tests only have questions from the lectures, so reading the textbook is completely unneccesary. Besides the three tests, there is just one final paper."
11,5.0,2.0,0,0,"Seriously the best prof I've ever taken at UNC. He's very passionate about the material and his tests reflect the lectures well. The only ""complaint"" I have is that he doesn't post his full ppts online, so you have to go to class to get all the info. 75% of the grade is tests & 25% final essay, so take that for what you will. 10/10 would take again"
12,4.0,1.0,0,0,"Professor Abramowitz clearly loves what he does, and is extremely intelligent.  He enjoys discussion, and encourages it in his class.  Professor Abramowitz specializes in Cognitive Behavioral Therapy, and it was extremely interesting to see the way he tied in his daily work to his class."
13,5.0,2.0,0,0,"One of the best professor's I have had. Extremely clear and helpful, and truly a nice guy. I learned a lot, and he really knows what he is talking about. Highly recommend."
14,5.0,4.0,0,0,"Dr. Abramowitz is one of the most interesting professors I've ever had ~ really witty and funny.  Learned a lot about abnormal psychology.  We did fun activities in class.  He wants you to do well (you have to study, though).  No regrets taking this class."
15,5.0,3.0,0,0,"Made abnormal psychology fun and interesting. He had great ""props"" and demonstrations to make classes very hands on."
1,5.0,3.0,1,0,"He is very caring and enjoys what he teaches. The course is dependent on a final 20-page term paper, with around 2 short assignments a week, and no exams/quizzes! Excellent choice for an Honors Seminar. Make sure to plan out getting the paper done, and you will be fine!"
2,5.0,2.0,0,0,Professor Aldrich is so wonderful! Thoroughly enjoyed this class and the class environment was very safe and inclusive. Class revolves around one large term paper which is manageable given that we spend all semester researching for it. No quizzes or exams. Professor Aldrich gives thoughtful feedback on assignments. Great option for honors seminar.
3,5.0,1.0,0,0,"Workload involves basic knowledge checks before class and the large cumulative term paper. The course reflects what you put in. If you are passionate and engage with Aldrich's material, you will breeze through. If not, you will find the class moderately difficult and boring. It's a very unique holistic approach to teaching at UNC, would recommend!"
4,5.0,3.0,0,0,the only bad part about this class is that you have to write a 15 page term paper but he breaks it up into smaller assignments as the semester goes on so it is manageable. the material is so interesting and he is great. really cares about his students success. he has past students who have done well come in and help you too. take him if you can!
5,5.0,4.0,0,0,"Professor Aldrich is really caring when it comes to his students. If you're ever struggling, I recommend coming to officer hours or sending him an email. His grading is relatively fair as long as you show you understand Ritzer's four components of Rationalization (control, predictability, efficiency, & calculability). "
6,4.0,2.0,0,0,"Aldrich really cares about his students. Though his grading criteria is sometimes confusing (he is not always specific about what he wants, and online assignment descriptions don't usually match what he asks for in class), if you go to his office hours, he always helps you out. Kind of a lot of work for a first-year seminar, but doable for sure."
7,4.0,2.0,0,0,"Professor Aldrich cares a lot about this class and his students. He gives good and very quick feedback. The subject matter is interesting but gets repetitive. Two short (two-page) papers, one medium (four-page) paper, and one long (fifteen-page) term paper. Lenient grader and offers support and good feedback. You don't ever want to disappoint him!"
8,4.0,3.0,0,0,Interesting course taught by a nice man who knows his stuff. Class is graded fairly leniently as it is a first-year seminar. He assigned a couple of fun projects throughout the semester.
9,5.0,3.0,2,0,Great professor! Really interested in the topic and wanted his students to learn. Course was composed of four short papers and a 15 page paper that you worked on throughout the semester. Very manageable as he provides great resources. Lots of group work and a final fun group project
10,4.0,3.0,0,0,"No tests, only papers. He does not grade hard."
11,5.0,3.0,1,0,super nice guy who really cares about his students
12,5.0,2.0,0,0,"Aldrich cares SO much about SOCI & students. Majority of grades are 4 short papers and one 15 page term paper, which is daunting but if you start early (or if you don't, it's manageable) He really wants to see students succeed. Utilize office hours even just to get to know him. Class itself is easy: groupwork, discussion, & activities/guests."
13,2.0,5.0,0,2,"This seminar is not for those looking for an easy A. There is so much writing in this class. There were four ""short"" papers and a massive 15 page paper at the end of the semester. He grades the short papers HARSHLY. Best comment on my paper, ""You seem to write things without thinking them through or caring."" Use his office hours for a better grade"
14,5.0,3.0,1,0,Professor Aldrich truly cares about his students! He is extremely accessible outside of class and welcomes student feedback.
15,3.0,3.0,0,0,"His first year seminar is graded on mostly papers, specifically a 15 page term paper, so be ready to write. Aldrich is a very interactive professor and cares about his students, but don't take this seminar if you're looking for an easy fys."
16,3.0,3.0,0,0,"Professor Aldrich was awesome in terms of caring about his field of work, but this SOCI89H class became very redundant, very quickly. For people who are actually interested in full-scale rationalization of America, this class is for you! For me, I only enjoyed having Aldrich as a professor because he was helpful and intuitive, not due to the course"
17,4.0,3.0,2,1,"Professor Aldrich may come off as dry, but as the semester progresses it becomes apparent just how much he cares about the subject matter he is teaching. The final grade is comprised of  a few 2-page essays, participation, and discussion. Fairly easy class if you put forth the effort, and can be very interesting at times."
18,4.0,2.0,1,0,"Prof. Aldrich was great in my first-year seminar. He assigns a lot of short papers (2 - 5 pages, depending on the assignment) and grades pretty harshly, but if you use the sources he gives you, you should get a good grade. He cares about his students and gives monthly energy checks to make sure we're taking care of our mental health."
19,5.0,2.0,1,1,"He taught a great first year seminar on the ""McDonaldization of Society"".  He's passionate about teaching, sociology, and helping students understand the material."
20,3.5,1.0,0,0,"ok. not a hard grader and a decent teacher, but kind of a flake. relies heavily on jargon, ideology and intellectual trends."
1,4.0,3.0,0,0,Sara is really upbeat and does lots of demos in class.
1,3.0,3.0,0,0,"It is not difficult to get an A in this class if you put in the effort. I got a B+ because I didn't put in any effort into this class. If you do the all of the readings, it'll be easy. It's just a lot. Two papers, weekly quizzes, and recitation participation/attendance is a big part. She also uses UNC check-in for all lectures."
2,4.0,3.0,0,0,"It is not too difficult to get an A in this class.  The quizzes are hard, but the lowest 2 are dropped and the papers/exams are not bad.  There are 100+ pages of reading per week, but I didn't read any past spring brk and still got an A.  Manageable if you commit time.  Anderson is nice and tries to make lecture interesting.  Take Ranko as your TA!"
3,4.0,3.0,0,0,"Notot a ton of homework but there are two 5-7 page papers, a midterm, and a final. These assignments seem very difficult at face value but it is quite easy to get a good grade. Class felt a little formulaic but other then that it was good. It was my first and probably my only poli-sci class I will ever take. Subject material is a bit uninspired. "
4,4.0,2.0,0,0,"Anderson is an engaging lecturer and is passionate and knowledgeable about her subject. The attendance policy was generous, and so was the grading. Exam preparation was time consuming because there were so many terms to study and only four on the exam, but the exams themselves were manageable. Overall, I learned a lot and would recommend Anderson!"
5,4.0,3.0,0,0,"Multiple readings every week, but I never read them and ended with a B+. Tons of terms you need to know for exams because the exams are free responses, but I studied like a day before and did fine. TAs grade everything so your grade really just depends on if you get an easy one or not. Weekly quizzes, lowest two grades get dropped. Takes attendence"
6,4.0,3.0,0,0,"Solid class. Never did readings but studied hard for exams. Probably shouldve gotten an A, but got lazy on second paper. Exams are graded kinda weird but overall the grading was fair. Class made me consider poli sci as a major"
7,5.0,3.0,0,0,"I loved Professor Anderson's lectures. She is very knowledgable in the content and has a likeable personality. The class consisted of weekly online quizzes, two essays, a midterm, and a final. If you pay attention to her lectures and do the readings, you'll be fine. I would absolutely recommend taking a comparative politics class with her!"
8,5.0,3.0,0,0,"very organized, and interesting lecture. easy to pay attention in class and many examples were given. there were a lot of readings but not super necessary. there were also weekly quizzes which boosted my grade"
9,5.0,3.0,0,0,"Prof Anderson herself is an engaging lecturer. Taught us the content via real-world examples. She is clearly so passionate about this subject, extremely intelligent, and funny. I want to be her friend. All grading done by TAs. Two 5-7 page papers, a midterm, a final. Exams were a few robust term definitions + an essay. Will do well if you study."
10,4.0,4.0,0,0,"Very cool, young, and relatable professor. Very knowledgable about what she teaches and explains it well. However, there are weekly quizzes that are very difficult and multiple essays. Lots of reading if you want an A."
11,5.0,4.0,0,0,"Lectures are amazing and informational, but with tons of information to sort through. There is also a crazy amount of reading, which you are expected to remember for the midterms and final. Papers are graded pretty harshly, and midterm is essentially all writing and identifying terms. Great class, but not an easy A. "
12,5.0,4.0,0,0,"The best lecturer I've had at UNC. Lectures are structured and connect the concepts of the class to real examples. Great intro to Polisci but is not an easy class. Lots of reading and keep up with notes. Midterm and final were very long and required you to know terms and authors, and papers were not graded easily."
13,4.0,3.0,0,0,"I never really talked to Professor Anderson one-on-one, but she was a very effective lecturer. The class is mainly guided by TA's so she is really just there to maintain the stability of the course. She is very intelligent and you will learn a lot in her class."
14,4.0,3.0,0,0,"Weekly quizzes, 2 papers, midterm, and final. Exams are both ID's (term definitions) and papers. Not hard at all if you put some effort in. Papers aren't bad either. TAs grade and were pretty easy. Quizzes were hard, but not big % of grade and 2 lowest were dropped. Prof was very knowledgable, interesting lectures and topics. Would recommend."
15,4.0,3.0,0,0,lots of readings for each week but you don't have to do them to pass the class. 2 papers and weekly quizzes which are not difficult and TA's don't grade papers harshly. Professor Anderson is very knowledgeable and this class was just interesting overall
16,5.0,4.0,0,0,"This class was both one of the most challenging I've taken and one of the most interesting. The lectures are super fast and the quizzes are tough, but the paper topics are interesting. The midterm and final were hard, but doable if you studied well. She is willing to make adjustments for students as needed. "
17,4.0,2.0,0,0,"Professor Anderson is not very accessible to get help, but TA's do a good job. On the other hand, she is brilliant in this subject and knows what she is talking about. I would take this class, but be prepared to read a lot for every lecture. She records lectures but if attendance is low she will stop so show up to class."
18,4.0,4.0,0,0,"I found Professor Anderson's lectures to be engaging and easy to follow. I didn't love how she was not very accessible via email, and she took forever to grade course assignments (2 papers, group presentation, final podcast) and the midterm. Nonetheless, she is passionate about what she teaches and the class was very interesting."
19,5.0,3.0,0,0,"Prof Anderson is an amazing lecturer and the content is so interesting. The class is made up of two papers, easy online quizzes, a midterm, and a final. The midterm and final really aren't difficult and the class average on each one was around an 89, so very manageable. Your grade depends on your TA, but not terribly hard. Very fun class."
20,3.0,4.0,0,0,I personally really enjoyed the content of the class. The lectures were engaging and I could tell Dr. Anderson really knew her material. The midterm and the final were ridiculously hard. I enjoyed my TA and she was easy to contact. 
1,5.0,2.0,0,0,One of the best professors at UNC. There were some projects throughout the semester but had a lot of time to prepare for them. 
2,5.0,1.0,0,0,I had Professor Andrews for Soci-89 (a first year seminar) and really enjoyed the class. The material was very interesting and the way the class was run made me want to participate. The weekly assignments were easy but the readings could get long. There were 3 papers in the class that were manageable. 
3,5.0,2.0,0,0,"Professor Andrews is hands down the best professor at UNC! I had him for Soci89, a first-year seminar but I recommend him for any class! There were weekly readings that could get pretty lengthy along with 3 essays (the longest was 6 pages). It was very easy to make an A because the readings/discussions were the main chunk of your grade. "
4,5.0,1.0,0,0,"Professor Andrews is a GREAT professor. This class was a seminar class, and it was a great learning environment. He is a caring person who cares greatly for his students and their thoughts. The class wasn't hard at all and was actually really engaging. I wouldn't just take this class, but I would take him as a professor for other courses as well!"
5,4.0,1.0,1,0,"2 papers + the final was also a paper, but most definitely not a harsh grader. It's pretty writing intensive w/ a 350-word reflection each week but the class is 100% discussion-based & an easy conversation! He just wants to hear your thoughts & if you participate even a little he really appreciates it. Content of the class is very interesting too"
6,4.5,1.0,1,0,"Prof. Andrews is one of the kindest professors at UNC. His lectures can be a little boring, but the class is pretty easy and I love him. You do a sort of case study on a social movement of your choosing and write a few papers throughout. They're easy to get an A though. I turned one in 4 hrs late and got a 95%. He's a great mentor, too"
7,5.0,5.0,0,2,Interesting.
8,4.0,2.0,0,0,Andy gets hotness points for his beard.
9,4.5,1.0,0,1,great prof.  he directed the seminar very well and the readings made the discussions very interesting.   he is also a great cook
1,3.0,5.0,0,0,"Not an easy A. This class is incredibly intensive and although she has high expectations for honors students, she's really accessible during office hours. She's passive-aggressive, and getting feedback from her outside of assignments is hard. Get ready to write a lot; many small and group assignments with a 10+ page research paper at the end. "
2,4.0,3.0,0,0,"This class was VERY boring. Dr. Arnold is fine, but she is definitely more of a research professor than a teaching professor. The last bit of this class was a research project, and she was very helpful with that. This class is not an easy A, but it isn't terribly hard. If you don't want to be bored and hate your FYS, don't take this class."
3,4.0,4.0,0,0,"I had extenuating circumstances this semester and would not have passed this class without Dr. Arnold's help. She cared about my success in her class and reached out often to make sure I stayed on top of the class. She grades intensely, but I do think her feedback is super helpful. She really showed tough love, which I deeply respect. "
4,1.0,4.0,0,0,"Do not take a class with her. Her grading standards are incredibly harsh and she gives very vague instructions for all assignments. She is very disorganized and has no idea how to use technology, she was not even able to post quizzes on Sakai without there being serious glitches. She is a researcher, not a teacher. "
5,1.0,4.0,0,0,I hate this class. 
6,1.0,4.0,0,0,"Class does not teach about language, it teaches about research. If I wanted to learn about research, I would have taken that class again. Lectures are super dry and she's completely unorganized, does class work out of order, and does not know how to communicate. -10/10 Do not recommend."
7,1.0,4.0,0,0,"Horrible lecturer. Doesn't teach or answer questions well. Course content is painfully dry. She's disorganized, constantly contradicting herself, and has no idea how to use technology. Assignment instructions are vague and confusing. She's an overall atrocious communicator and is so out of touch with her students. DO NOT TAKE A CLASS WITH HER!!!!!!"
8,1.0,4.0,0,0,"She is so dumb!! Absolutely no help in class, unreachable, extremely rude, her presence infuriates everyone. Makes you question her phd's cause she is not good in her field. Super disorganized. UNC has some questionable profs in general, but she doesn't deserve to be one here. Class is easy-but theres a lot of effort. She wouldn't round at the end."
9,3.0,4.0,0,0,"Nice but very intense and direct. Gives specific feedback on writing, doesn't grade lightly. Pays attention to every detail. Sometimes belabors points but generally has clear grading criteria. I am a little scared of her. She is very smart. You can't BS your way through writing. She will literally read all of it to make sure it makes sense."
10,2.0,5.0,0,0,"This class was a huge disappointment. Lots of readings and homework, rubrics, and criteria for assignments were incredibly vague. Also, she is a really tough grader for someone whose teaching skills are so average. Don't take this class."
11,4.0,3.0,0,0,Dr. Arnold is very passionate and knowledgable about the subject. Her criteria for each assignment was clear and she graded fairly. There was a research component to the class that was not only fun but also informative. Assigned readings and some lectures could be confusing but she was always quick to clarify anything people had questions about
12,2.0,4.0,0,0,"Just don't. I wish I would have taken a different upper level Psychology class. She is a very tough grader, yet not a great lecturer. Easy to conflict with her personality/style. Uses a bell curve for grades."
13,1.0,5.0,0,0,"Do not take this class, very boring and she grades very very tough. You will read about 60 pages every week and get a quiz on that before class starts every class."
14,3.0,5.0,0,0,"She is a good professor and really like the subject she is teaching. BUT She is a very very tough grader like she wants everything to be perfect. She gives research article summary assignments and expects you to use all of your words and nothing from the paper which makes no sense, because you have to talk about conditions and all. Not recommended."
15,4.0,1.0,0,0,"Professor Arnold is very invested in her class and subject material.  Sometimes her lectures are not the most interesting, but we did our own research and she helped a lot, making the course very worthwhile.  Easy A, not a heavy work load, just have to make sure you get your work done."
16,3.0,2.0,1,0,Dr. Arnold's PSYC 58 seminar is quite easy. A nice teacher but could be a boringbad lecturer.
17,5.0,2.0,0,0,"She was a good teacher. I had her for a FYS. It was my highest grade, and my easiest class my first semester of my first year. Great teacher! Nice lady! Cool class! Thumbs up."
18,4.5,3.0,1,1,"I loved this class! Her lectures were usually engaging, and I thought she did a good job of explaining the sometimes confusing concepts. Lots of tests = each test covered less material, each test not worth as much = better grades. Challenging yet interesting class - one of my favorites so far at UNC."
19,4.5,2.0,0,0,multiple choice part of test not as difficult as essay.  Tends to run out of time.  Will help you if you approach her.  Textbook v. boring
1,5.0,2.0,0,0,"I loved Poli 150 even as a Media and Journalism major! The class has few grades so study hard for the midterm and final! This was a super chill class that was really straightforward. I'd recommend it to anyone, I never did the lecture readings and still got an A- in the class. Also, both the TAs and the professor were accessible outside of class. "
2,5.0,3.0,0,0,"I've taken 2 classes with CBR, he's the best! 2 papers and 2 exams, is a fair grader, and is approachable. His study guides really prepare you for exams. His writing prompts are thought-provoking and something you can easily talk about if you've paid attention in class. "
3,5.0,3.0,0,0,"Professor Ballard-Rosa was an excellent professor for an introductory IR and economics course. Despite his expertise in highly complicated domains, he prioritizes simple and straightforward explanations of course material. The course grade consisted of two papers, a midterm, a final, participation/attendance (within recitation)."
4,5.0,3.0,0,0,"Professor Ballard-Rosa gave great lectures that made the course material digestible as well as engaging. I did get lucky with a great recitation leader as well, so my experience might be better than others. There are only 4 assignments total: 1 midterm, 2 essays, and the final. He posts all his lecture slides and Zoom recordings if you miss class."
5,4.0,3.0,0,0,"I found the lectures to be fairly engaging and even funny at some points. My only complaint is that there are only two assignments, outside of tests (a midterm and final), so you have to do really well on these to do well in the class. I would have personally preferred more smaller assignments through the semester."
6,5.0,3.0,0,0,"Professor Ballard-Rosa is the best professor I have had at UNC. His lectures are incredibly engaging, often funny, and always interesting. I've taken him for poli 150, 442, and am taking him next semester for 440. He is a special professor. 100% take his course if you can. "
7,5.0,4.0,0,0,"Professor Ballard-Rosa is incredible. He knows what he is talking about and really helps you understand the subject. I found his tests to be a bit unfair, not testing you on everything you know, however, the TA for my class was pretty awful, probably relating to the hard grading. His lectures are great and class is interesting, just get a good TA!!"
8,5.0,3.0,0,0,"Extremely skilled at lecturing, presents advanced ideas and research in very understandable terms. Would absolutely take again. Fair warning, the papers are complex."
9,3.0,2.0,1,0,"This was a good class overall. Only two assignments, a mid-term, and final. Only thing I wish was different was his lecture style because sometimes he would quickly cover more difficult topics and others were very repetitive."
10,5.0,3.0,0,0,"I LOVED this class. It was well structured, and Ballard-Rosa is a great presenter. The course had 2 major papers and 2 exams, but he was clear on all requirements. He was also very understanding with deadlines if negative events occurred on campus. Take a class with him."
11,5.0,3.0,0,0,"Professor Ballard-Rosa is easily one of the best professors I have had at UNC. His lectures are incredibly relevant to the modern day and I learned an immense amount. He is constantly available outside of class and is extremely accommodating, no matter the situation. I would 100% recommend you take his upper level smaller classes (like 442)."
12,5.0,4.0,0,0,"CBR is a great prof for my upper lvl POLI class. There are much readings/dense and he gives AWESOME lectures and FEEDBACK on PS/Exams. He is funny and genuinely passionate about IPE and is vocal/ENGAGING. I will definitely take class with him! I did not do too good on my 1st PS, but could have got a A, so close. But massive respect to him! HARD PS!"
13,5.0,3.0,0,0,"CBR is a great professor. Although it is lecture heavy, he makes them really engaging. He is also very caring, and was very willing to work with students who were struggling. Your grade consists of 2 five page papers (Graded by TA), a mid-term, a final, and participation/attendance in recitations depending on your TA."
14,5.0,2.0,0,0,"CBR is a wonderful professor. It's a powerpoint lecture class, but that's to be expected with an entry poli sci course. Made the material interesting and humorous. Would not hesitate to take again."
15,5.0,2.0,0,0,"CBR is an excellent lecturer, and his lectures are thorough enough that you can go light on the readings. Although your grade is largely dependent on your TA, I felt the class was a pretty easy A. CBR's tests are straight forward and really not designed to trick you."
16,5.0,3.0,0,0,"CBR was amazing! He gives great lectures and explains concepts in a way that anyone can understand. There are only two graded assignments apart from the midterm and final, so it can be difficult to recover if you mess up on one. CBR makes understanding everything so easy and fun, though, that you won't have to worry. Would definitely recommend him!"
17,5.0,3.0,0,0,"CBR was awesome. Super caring and understanding of his students the whole semester. On top of that, he communicated the material really well and made the more mundane topics interesting. Only complaint is that there's only 2 papers and 2 tests, so if you slip up on one it's tricky to recover. Other than that, could not recommend this guy enough!"
18,5.0,3.0,0,0,"Honestly one of the best professors I've ever had. He's an Incredible and hilarious lecturer. He makes class enjoyable and the material easy to understand. Readings can be hard, but he explains everything in class, so it's okay even if you don't do them. Problem sets can be tricky, but he's super open to talking through them with you if you ask."
19,4.0,2.0,0,0,"He just loves teaching and is so good at it. However, his presentations were just reiterating the text book, so I stopped reading, but still getting an A or high B right now. 2 1500 word papers, midterm, final, and recitation attendance are all he grades."
20,5.0,3.0,0,0,CBR is one of the best lecturers I had here at UNC. I enjoyed how into the subject he was and how he was one of the only professors I had that cared for the mental wellbeing of all his students. Would 100 percent recommend to anyone who is considering a class of his
